iter	RMSE
0	175.4726413
1	175.4541148
2	175.4402273
3	175.4289448
4	175.4198938
5	175.4125895
6	175.4089789
7	175.4024798
8	175.3993179
9	175.3965553
10	175.3934249
11	175.3916048
12	175.3895022
13	175.3878025
14	175.38654
15	175.3854806
16	175.3843612
17	175.3831942
18	175.3823554
19	175.381761
20	175.3811865
21	175.3808112
22	175.3802389
23	175.3797974
24	175.3796306
25	175.3793438
26	175.3791039
27	175.3787285
28	175.3784506
29	175.3782157
30	175.3780826
31	175.3778032
32	175.3776678
33	175.377508
34	175.3774939
35	175.3774223
36	175.3773666
37	175.3772245
38	175.3771268
39	175.3769826
40	175.3769373
41	175.376848
42	175.3767951
43	175.3767614
44	175.3766482
45	175.3765828
46	175.3765345
47	175.3765283
48	175.376434
49	175.3763231
50	175.3762499
51	175.3762159
52	175.3762014
53	175.376149
54	175.3761291
55	175.3761203
56	175.3761044
57	175.3760741
58	175.3760477
59	175.3760429
60	175.376023
61	175.3759833
62	175.3759786
63	175.3759505
64	175.3758966
65	175.3758632
66	175.375841
67	175.3758319
68	175.375814
69	175.3757898
70	175.3757736
71	175.375768
72	175.3757509
73	175.3757319
74	175.375713
75	175.3757098
76	175.3756999
77	175.375687
78	175.3756818
79	175.375676
80	175.3756598
81	175.3756552
82	175.3756464
83	175.37564
84	175.3756291
85	175.3756221
86	175.3756172
87	175.3756046
88	175.3756003
89	175.3755962
90	175.3755856
91	175.3755769
92	175.3755706
93	175.3755618
94	175.375553
95	175.375546
96	175.375543
97	175.3755411
98	175.3755296
99	175.3755285
100	175.3755204
101	175.3755191
102	175.3755131
103	175.3755106
104	175.3755046
105	175.3754996
106	175.3754968
107	175.3754938
108	175.3754924
109	175.375488
110	175.3754856
111	175.3754849
112	175.3754828
113	175.3754816
114	175.3754767
115	175.3754736
116	175.3754718
117	175.3754694
118	175.3754671
119	175.3754644
120	175.3754636
121	175.3754604
122	175.3754576
123	175.3754556
124	175.375454
125	175.3754528
126	175.3754511
127	175.3754496
128	175.3754471
129	175.375445
130	175.3754431
131	175.3754424
132	175.3754408
133	175.3754383
134	175.3754371
135	175.3754356
136	175.3754348
137	175.375434
138	175.3754328
139	175.3754317
140	175.3754312
141	175.3754302
142	175.3754292
143	175.3754289
144	175.3754274
145	175.3754263
146	175.3754255
147	175.3754252
148	175.3754245
149	175.3754236
150	175.3754229
151	175.3754222
152	175.375421
153	175.3754202
154	175.3754199
155	175.3754193
156	175.3754186
157	175.3754179
158	175.3754173
159	175.3754168
160	175.3754165
161	175.3754159
162	175.3754154
163	175.3754148
164	175.3754144
165	175.375414
166	175.3754136
167	175.3754132
168	175.3754128
169	175.3754124
170	175.375412
171	175.3754117
172	175.3754114
173	175.375411
174	175.3754108
175	175.3754105
176	175.3754103
177	175.37541
178	175.3754098
179	175.3754096
180	175.3754094
181	175.3754092
182	175.375409
183	175.3754089
184	175.3754087
185	175.3754086
186	175.3754084
187	175.3754083
188	175.3754082
189	175.3754081
190	175.375408
191	175.3754079
192	175.3754078
193	175.3754077
194	175.3754076
195	175.3754075
196	175.3754074
197	175.3754074
198	175.3754073
199	175.3754072
200	175.3754072
201	175.3754071
202	175.375407
203	175.3754069
204	175.3754069
205	175.3754068
206	175.3754068
207	175.3754067
208	175.3754067
