iter	Passed	Remaining
0	18	18550
1	35	17481
2	51	17206
3	66	16566
4	82	16391
5	98	16278
6	111	15811
7	132	16392
8	148	16352
9	162	16087
10	185	16672
11	201	16618
12	218	16560
13	234	16484
14	249	16355
15	262	16128
16	278	16110
17	294	16073
18	311	16064
19	325	15956
20	341	15928
21	357	15892
22	374	15896
23	390	15887
24	406	15848
25	421	15789
26	437	15775
27	453	15753
28	469	15724
29	485	15700
30	501	15661
31	517	15647
32	533	15623
33	549	15620
34	563	15532
35	577	15452
36	593	15451
37	610	15446
38	623	15372
39	639	15348
40	655	15328
41	671	15311
42	687	15302
43	704	15306
44	721	15310
45	737	15288
46	752	15256
47	766	15207
48	782	15188
49	798	15172
50	814	15151
51	830	15133
52	845	15112
53	861	15099
54	876	15065
55	890	15010
56	906	15002
57	922	14985
58	937	14951
59	951	14907
60	969	14917
61	985	14916
62	998	14855
63	1014	14839
64	1031	14832
65	1047	14827
66	1063	14813
67	1079	14799
68	1100	14847
69	1117	14846
70	1133	14827
71	1149	14815
72	1165	14802
73	1181	14790
74	1197	14764
75	1212	14744
76	1228	14727
77	1244	14707
78	1260	14693
79	1275	14671
80	1291	14654
81	1308	14654
82	1325	14643
83	1341	14624
84	1356	14603
85	1372	14582
86	1387	14565
87	1404	14551
88	1420	14537
89	1434	14507
90	1450	14487
91	1466	14475
92	1482	14456
93	1497	14437
94	1511	14400
95	1527	14383
96	1540	14345
97	1556	14327
98	1572	14314
99	1589	14301
100	1605	14290
101	1621	14278
102	1638	14266
103	1654	14252
104	1670	14239
105	1686	14224
106	1701	14200
107	1717	14187
108	1733	14173
109	1749	14157
110	1765	14142
111	1781	14122
112	1797	14110
113	1811	14078
114	1827	14063
115	1843	14048
116	1859	14032
117	1875	14019
118	1889	13986
119	1904	13969
120	1916	13924
121	1933	13912
122	1949	13897
123	1964	13880
124	1981	13867
125	1996	13850
126	2012	13836
127	2024	13793
128	2040	13778
129	2056	13765
130	2072	13750
131	2089	13737
132	2104	13721
133	2121	13708
134	2136	13691
135	2152	13674
136	2168	13658
137	2184	13642
138	2199	13626
139	2215	13612
140	2231	13592
141	2246	13576
142	2263	13562
143	2275	13525
144	2290	13508
145	2306	13493
146	2322	13477
147	2336	13449
148	2351	13433
149	2367	13416
150	2383	13401
151	2399	13388
152	2416	13375
153	2432	13361
154	2445	13333
155	2461	13317
156	2477	13302
157	2493	13290
158	2509	13274
159	2525	13260
160	2542	13248
161	2557	13231
162	2574	13220
163	2590	13204
164	2606	13189
165	2622	13173
166	2638	13161
167	2654	13147
168	2670	13131
169	2687	13119
170	2703	13105
171	2719	13089
