iter	Passed	Remaining
0	211	211699
1	253	126430
2	286	95379
3	318	79411
4	370	73826
5	403	66853
6	436	61973
7	471	58474
8	504	55558
9	536	53156
10	572	51469
11	607	49986
12	643	48818
13	676	47667
14	708	46497
15	750	46138
16	783	45317
17	816	44539
18	848	43792
19	889	43593
20	927	43224
21	960	42682
22	991	42135
23	1021	41558
24	1051	41027
25	1082	40544
26	1113	40139
27	1144	39733
28	1174	39323
29	1205	38980
30	1234	38584
31	1264	38250
32	1293	37905
33	1325	37663
34	1354	37346
35	1384	37081
36	1414	36811
37	1452	36782
38	1486	36628
39	1520	36499
40	1554	36351
41	1587	36205
42	1621	36078
43	1659	36058
44	1702	36130
45	1741	36114
46	1786	36231
47	1844	36592
48	1929	37439
49	1968	37409
50	2009	37390
51	2049	37366
52	2094	37431
53	2133	37368
54	2174	37354
55	2219	37417
56	2284	37794
57	2347	38124
58	2385	38041
59	2433	38118
60	2484	38250
61	2527	38233
62	2568	38195
63	2707	39595
64	2822	40597
65	2940	41605
66	2988	41610
67	3028	41514
68	3074	41483
69	3133	41636
70	3193	41784
71	3236	41716
72	3278	41628
73	3324	41602
74	3360	41447
75	3396	41293
76	3432	41146
77	3472	41042
78	3508	40907
79	3543	40747
80	3580	40620
81	3624	40581
82	3668	40526
83	3708	40443
84	3754	40416
85	3790	40282
86	3824	40136
87	3857	39982
88	3891	39837
89	3926	39700
90	3963	39586
91	3997	39456
92	4030	39307
93	4066	39198
94	4102	39082
95	4132	38911
96	4162	38750
97	4197	38630
98	4229	38488
99	4260	38342
100	4294	38227
101	4328	38108
102	4364	38012
103	4399	37906
104	4433	37786
105	4464	37654
106	4500	37563
107	4534	37448
108	4565	37322
109	4604	37256
110	4648	37225
111	4686	37155
112	4724	37084
113	4763	37020
114	4798	36929
115	4839	36879
116	4877	36812
117	4917	36757
118	4958	36706
119	5006	36716
120	5051	36694
121	5084	36590
122	5115	36474
123	5146	36360
124	5184	36291
125	5224	36238
126	5265	36193
127	5298	36097
128	5330	35994
129	5362	35890
130	5397	35805
131	5429	35701
132	5462	35607
133	5497	35528
134	5528	35420
135	5559	35316
136	5596	35252
137	5633	35188
138	5670	35122
139	5703	35035
140	5733	34930
141	5765	34833
142	5796	34738
143	5828	34647
144	5858	34546
145	5888	34445
146	5917	34335
147	5948	34244
148	5978	34148
149	6007	34040
150	6037	33946
151	6066	33847
152	6097	33755
153	6125	33651
154	6154	33553
155	6184	33461
156	6212	33358
157	6241	33262
158	6272	33175
159	6300	33076
160	6330	32990
161	6359	32898
162	6390	32814
163	6421	32732
164	6453	32656
165	6488	32600
166	6519	32520
167	6550	32438
168	6588	32397
169	6626	32354
170	6659	32285
171	6693	32221
172	6726	32153
173	6758	32083
174	6791	32017
175	6825	31955
176	6854	31872
177	6888	31809
178	6922	31752
179	6955	31684
180	6986	31613
181	7020	31551
182	7050	31474
183	7081	31404
184	7113	31335
185	7147	31279
186	7187	31249
187	7225	31207
188	7268	31188
189	7304	31140
190	7341	31095
191	7381	31062
192	7416	31009
193	7448	30944
194	7486	30906
195	7519	30844
196	7554	30791
197	7597	30775
198	7632	30720
199	7664	30658
200	7704	30626
201	7739	30574
202	7772	30515
203	7806	30461
204	7843	30416
205	7878	30365
206	7915	30321
207	7952	30279
208	7986	30225
209	8022	30181
210	8057	30131
211	8093	30081
212	8129	30038
213	8166	29994
214	8200	29942
215	8234	29887
216	8265	29824
217	8298	29766
218	8336	29730
219	8369	29674
220	8402	29619
221	8436	29566
222	8471	29516
223	8501	29452
224	8534	29395
225	8570	29351
226	8604	29301
227	8637	29245
228	8671	29195
229	8703	29137
230	8736	29082
231	8774	29046
232	8807	28992
233	8840	28938
234	8876	28894
235	8908	28839
236	8940	28783
237	8972	28727
238	9005	28675
239	9036	28616
240	9068	28561
241	9111	28539
242	9146	28493
243	9176	28433
244	9210	28382
245	9243	28331
246	9276	28281
247	9317	28252
248	9354	28212
